fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person (Rs),Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages (in lakhs),Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure (in lakhs),Total_Exp (in Lakhs),Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages (in lakhs),Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Aug,34,JHARKHAND,3402,LOHARDAGA,637677,273.0978885,31,86,580.6072641,2873,0,15726,583705,31157,4972,349507,70052,56.35699,2231.050284,18397,23402,53040,112891,149,98268,195368,18599,1594.08603,297807,96,83.84,0.16,99.52,NA
2024-2025,Aug,34,JHARKHAND,3410,EAST SINGHBUM,1481804,269.9473327,25,119,683.5672809,7184,45,33735,998761,38123,9397,429300,104515,91.51513,3471.211091,39440,46446,114329,220495,69,275971,492061,40919,2696.12868,542772,95,81.65,4.21,99.03,NA
2024-2025,Aug,34,JHARKHAND,3412,JAMTARA,2027739,270.2411857,29,93,1159.244691,6199,0,29108,1984479,152041,14543,408576,42174,67.14566,6589.269931,67790,73870,131024,177619,96,229724,300025,35307,5362.87958,893692,94,96.23,1.14,99.39,NA
2024-2025,Aug,34,JHARKHAND,3414,PAKUR,1387241,271.9750537,33,33,932.8632596,5290,0,25923,1212362,24835,3365,334563,43874,76.17783,4306.36329,36338,38639,94074,122306,55,220764,283114,31213,3297.3222,594029,97,90.86,2.42,99.66,NA
2024-2025,Aug,34,JHARKHAND,3415,GODDA,1787429,272.5750061,32,129,1207.248915,4417,7,35881,1659272,61562,9849,326268,39545,102.54961,5832.55928,50564,55238,131275,194015,57,302413,439923,40298,4522.760755,778433,92,89.11,5.81,99.48,NA
2024-2025,Aug,34,JHARKHAND,3419,GIRIDIH,4857104,271.0688438,29,531,2451.995852,10828,17,68593,3420658,191035,31954,289354,34913,262.41514,11986.74908,116661,123873,281403,369449,109,647868,859126,79421,9272.33809,1805324,94,93.63,3.01,99.58,NA
2024-2025,Aug,34,JHARKHAND,3421,DHANBAD,1459824,272.1335549,25,105,437.9099003,6772,15,37342,1045128,83519,15547,172016,22245,122.38824,3404.44212,40418,45628,107098,149187,87,303547,394134,44114,2844.14398,480117,95,90.21,3.71,99.62,NA
2024-2025,Aug,34,JHARKHAND,3404,SIMDEGA,1636707,278.3900858,29,119,1382.908185,5255,0,24589,1188363,113178,14533,728643,102212,68.9646,4760.15756,39888,44958,94530,155531,336,169678,272027,29844,3308.284775,536307,94,90.06,1.71,99.1,NA
2024-2025,Aug,34,JHARKHAND,3406,LATEHAR,2778539,269.8220032,30,491,854.8900668,8192,0,30422,2059284,269752,22588,651334,51212,104.54286,6515.834267,67147,73036,123197,154338,104,188376,234220,38614,5556.40134,979474,97,64.98,31.91,99.35,NA
2024-2025,Aug,34,JHARKHAND,3410,EAST SINGHBUM,1481804,270.2002632,25,119,683.5672809,7174,45,33742,996908,38050,9397,428395,104510,91.51513,3468.730451,39424,46430,114322,220483,69,275946,492032,40916,2693.64804,541654,95,81.72,4.21,99.02,NA
2024-2025,Aug,34,JHARKHAND,3412,JAMTARA,2027739,270.2092901,29,93,1159.244691,6199,0,29008,1975258,151152,14540,406245,42171,67.14566,6563.720971,67657,73725,131004,177603,94,229678,299978,35207,5337.33062,889502,94,96.26,1.13,99.38,NA
2024-2025,Aug,34,JHARKHAND,3413,SAHEBGANJ,1633163,275.7579079,29,145,1172.002242,3872,6,28786,1251346,36451,6710,270039,46552,99.37809,4722.065882,42302,45420,126691,159467,44,347186,427644,32658,3450.68555,622747,91,86.74,5.02,99.63,NA
2024-2025,July,34,JHARKHAND,3411,DUMKA,2276647,271.8067827,34,101,1481.052117,5079,0,34677,2425150,107434,10964,653712,68569,115.74602,8188.520327,70852,76531,150414,213234,81,325919,466414,39756,6591.72219,1125049,94,92.91,4.61,99.85,NA
2024-2025,July,34,JHARKHAND,3414,PAKUR,1168869,272.7735355,31,32,901.6008468,4947,0,25730,1083883,21373,3346,296716,43748,76.17783,3934.324657,34764,36895,93733,121918,26,220100,282440,30677,2956.54598,529696,97,92.68,2.18,99.8,NA
2024-2025,July,34,JHARKHAND,3416,HAZARIBAGH,2118877,276.1682708,31,278,1371.961382,5122,17,32263,2299484,258496,34583,138762,15962,127.39165,7849.798232,71999,79207,160779,219799,239,365547,504173,37385,6350.4452,1160178,95,95.73,1.72,99.8,NA
2024-2025,July,34,JHARKHAND,3420,BOKARO,1529041,274.6428921,33,196,1049.955986,10214,16,32371,1467313,141798,26349,222005,35139,118.63812,5198.464965,44399,49928,136431,205942,234,380151,548549,42585,4029.870859,713080,97,94.12,1.53,99.81,NA
2024-2025,July,34,JHARKHAND,3404,SIMDEGA,1379066,279.3170792,28,116,498.3554356,5208,0,24360,1109327,104904,14518,684351,102400,68.9646,3665.859811,38981,43787,94547,155666,285,169740,272400,29568,3098.539775,496457,94,89.97,1.79,99.75,NA
2024-2025,July,34,JHARKHAND,3412,JAMTARA,1708543,270.3782195,27,91,634.7823084,5864,2,27060,1746737,132492,14520,363292,42130,67.14566,5424.724368,64316,69814,130673,177238,69,228731,298984,32924,4722.7964,779261,94,96.76,1.15,99.87,NA
2024-2025,Aug,34,JHARKHAND,3408,WEST SINGHBHUM,1840249,271.53399,29,128,1111.605082,6916,3,38857,1727051,39568,5539,1204979,159375,133.58576,5934.721332,57628,62754,151373,224821,172,354954,518418,45773,4689.53049,839513,89,81.78,10.08,99.35,NA
2024-2025,Aug,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,1600893,270.9406406,29,158,623.4889421,8488,7,26058,1223851,49884,10931,402922,89481,86.22811,4025.626792,42082,51345,114422,216994,87,234524,416293,34546,3315.90974,609223,93,90.13,2.37,99.36,NA
2024-2025,Aug,34,JHARKHAND,3410,EAST SINGHBUM,1481804,270.5605819,25,119,683.5672809,7235,45,33743,1020743,39189,9401,438559,104560,91.51513,3536.810611,39612,46697,114385,220592,74,276034,492147,40978,2761.7282,555417,95,80.95,4.27,99.28,NA
2024-2025,Aug,34,JHARKHAND,3411,DUMKA,2701978,272.7203532,35,104,1490.438144,5200,0,35345,2538878,113801,10982,684736,68594,125.64925,8540.124444,72186,77953,150708,213486,98,327335,467877,40545,6924.03705,1182551,94,91.43,5.93,99.77,NA
2024-2025,Aug,34,JHARKHAND,3412,JAMTARA,2027739,270.0825516,29,95,1159.244691,6208,0,29813,2015272,155130,14544,414247,42203,92.51663,6694.659361,68206,74368,131094,177709,115,230039,300368,36021,5442.89804,908009,94,96.21,1.13,99.39,NA
2024-2025,Aug,34,JHARKHAND,3417,CHATRA,2542445,272.9417459,29,59,1580.359833,6017,1,34904,2587837,637965,51964,126219,9335,96.08057,8739.727893,86896,96574,159727,194934,127,270125,322268,40921,7063.28749,1309663,97,96.72,1.02,99.41,NA
2024-2025,Aug,34,JHARKHAND,3419,GIRIDIH,4857104,271.8340741,29,534,2451.995852,10889,17,68687,3446882,193609,31966,292718,34912,262.41514,12084.21076,117306,124558,281441,369502,110,648217,859492,79576,9369.79977,1819779,94,93.6,2.99,99.59,NA
2024-2025,Aug,34,JHARKHAND,3402,LOHARDAGA,637677,273.2355487,32,87,580.6072641,2873,0,15817,597923,31813,4973,357522,70090,62.54423,2276.889684,18566,23659,53070,112957,157,98398,195573,18690,1633.73819,304778,96,83.63,0.16,99.53,NA
2024-2025,Aug,34,JHARKHAND,3406,LATEHAR,2778539,271.2108131,32,515,854.8900668,8484,0,31369,2236825,294055,22618,704363,51305,128.67064,7050.071977,69702,75897,123445,154617,141,189595,235483,39853,6066.51127,1064832,97,64.19,32.36,99.44,NA
2024-2025,Aug,34,JHARKHAND,3410,EAST SINGHBUM,1481804,271.1098888,25,121,683.5672809,7243,45,33778,1031397,39774,9401,442354,104558,97.49513,3577.281671,39682,46792,114404,220621,80,276088,492214,41021,2796.21926,561383,95,80.7,4.34,99.36,NA
2024-2025,Aug,34,JHARKHAND,3412,JAMTARA,2027739,269.9452853,29,94,1159.244691,6224,0,30511,2042010,156514,14545,418095,42228,92.51663,6764.071041,68746,74992,131161,177795,117,230735,301133,36735,5512.30972,921112,94,96.11,1.23,99.41,NA
2024-2025,Aug,34,JHARKHAND,3414,PAKUR,1387241,273.0748364,34,33,932.8632596,5335,0,26025,1265306,26142,3374,349302,43977,76.17783,4464.27338,36896,39244,94307,122568,71,222010,284411,31360,3455.23229,620867,97,90.17,2.45,99.69,NA
2024-2025,Aug,34,JHARKHAND,3420,BOKARO,1814701,274.7118261,33,197,1059.9265,10292,14,32541,1493963,146216,26419,226200,35170,135.54725,5299.566789,44765,50376,136581,206134,239,380596,549046,42833,4104.093039,728610,97,93.72,1.52,99.78,NA
2024-2025,Aug,34,JHARKHAND,3422,DEOGHAR,3288688,271.9312729,37,315,2308.629218,6194,0,32989,3148233,194083,24548,310160,28618,164.31464,11033.97393,84986,93071,190371,273588,241,400247,584414,39183,8561.03007,1364089,93,91.77,3.06,99.81,NA
2024-2025,Aug,34,JHARKHAND,3424,KHUNTI,836498,270.9975149,30,101,474.3853064,1013,0,22152,634578,23944,4533,443298,68039,44.13818,2238.214096,20649,24103,60026,96953,100,149111,239105,23165,1719.69061,271031,97,91.44,0.95,98.93,NA
2024-2025,Aug,34,JHARKHAND,3402,LOHARDAGA,637677,273.4709418,32,87,580.6072641,2873,0,15798,596545,31782,4973,356662,70081,62.54423,2274.528724,18536,23614,53064,112945,157,98365,195524,18671,1631.37723,304166,96,83.63,0.16,99.53,NA
2024-2025,Aug,34,JHARKHAND,3411,DUMKA,2701978,272.6602982,35,104,1490.438144,5200,0,35699,2543640,114100,10986,686264,68626,125.64925,8551.583804,72318,78107,150770,213562,98,327908,468464,40899,6935.49641,1184953,94,91.35,5.99,99.77,NA
2024-2025,Aug,34,JHARKHAND,3412,JAMTARA,2027739,269.2944204,29,94,1159.244691,6224,0,30277,2030620,156076,14547,416533,42222,92.51663,6720.107681,68569,74785,131137,177766,115,230537,300908,36501,5468.34636,915591,94,96.16,1.18,99.4,NA
2024-2025,Aug,34,JHARKHAND,3415,GODDA,1787429,272.9322747,33,129,1207.248915,4417,7,36193,1675776,62686,9854,327676,39550,106.19961,5887.18208,50766,55465,131354,194101,61,302614,440145,40610,4573.733555,786209,92,89.14,5.73,99.51,NA
2024-2025,Aug,34,JHARKHAND,3419,GIRIDIH,4857104,271.5049796,29,536,2451.995852,10930,17,68698,3471936,195287,31973,295709,34919,262.41514,12140.89012,117658,124943,281497,369562,111,648486,859764,79628,9426.47913,1833186,94,93.56,2.97,99.59,NA
2024-2025,Sep,34,JHARKHAND,3403,GUMLA,2013699,269.5376447,36,136,1865.801461,2761,1,37245,1662345,51539,6821,986028,124777,108.29849,6454.745511,45735,52084,113119,196756,303,219584,368585,40006,4480.64556,673956,94,91.69,6.69,98.7,NA
2024-2025,Sep,34,JHARKHAND,3406,LATEHAR,3162394,271.2779094,32,515,854.8900668,8502,0,31559,2251054,295934,22618,708691,51311,128.67064,7090.172937,69823,76039,123453,154626,153,190265,236189,40061,6106.61223,1071790,97,64.13,32.42,99.45,NA
2024-2025,Sep,34,JHARKHAND,3416,HAZARIBAGH,2862145,276.0936618,32,278,1429.479246,5281,17,32305,2333587,265458,34680,142089,15984,141.34004,8013.705086,72406,79692,160972,220081,244,366961,505710,37586,6442.8858,1182666,95,95.25,1.66,99.64,NA
2024-2025,Sep,34,JHARKHAND,3417,CHATRA,2893683,272.6794669,29,61,1580.359833,6065,1,35098,2596534,639968,51969,126754,9338,103.84992,8764.424823,87075,96776,159755,194979,129,271306,323554,41163,7080.21507,1314325,97,96.66,1.03,99.41,NA
2024-2025,Sep,34,JHARKHAND,3423,RAMGARH,1182784,272.06208,37,158,798.2765544,2266,30,15619,936292,47237,8075,225132,27770,57.99624,3403.568284,25117,29969,61803,102149,299,140552,222057,17885,2547.29549,426838,95,95.11,0.45,99.51,NA
2024-2025,Sep,34,JHARKHAND,3424,KHUNTI,952060,271.0260992,30,101,474.3853064,1013,0,22154,634770,23956,4533,443382,68047,44.13818,2238.915856,20656,24111,60031,96962,100,149128,239125,23167,1720.39237,271157,97,91.43,0.95,98.93,NA
2024-2025,Aug,34,JHARKHAND,3406,LATEHAR,2778539,270.079685,30,493,854.8900668,8212,0,30565,2087596,273519,22588,660713,51234,104.54286,6597.605627,67418,73345,123229,154375,106,188426,234270,38777,5638.1727,993383,97,64.95,31.86,99.37,NA
2024-2025,Aug,34,JHARKHAND,3416,HAZARIBAGH,2514734,276.0664664,32,279,1429.479246,5262,17,32269,2318554,262321,34638,140485,15966,127.39165,7957.620996,72232,79485,160876,219934,244,366040,504717,37531,6400.7501,1171932,95,95.5,1.7,99.63,NA
2024-2025,Aug,34,JHARKHAND,3417,CHATRA,2542445,272.464228,29,58,1580.359833,5937,1,34878,2579836,636275,51963,125811,9333,96.08057,8705.570643,86614,96256,159706,194908,123,270027,322159,40815,7029.13024,1305536,97,96.77,0.99,99.36,NA
2024-2025,Aug,34,JHARKHAND,3418,KODERMA,948051,275.4406022,31,69,578.3315006,3833,5,14935,857254,74141,9063,11612,1062,61.76273,3001.319811,26996,29630,63380,81048,56,153425,194800,18768,2361.22558,437799,90,79.36,7.96,99.03,NA
2024-2025,Aug,34,JHARKHAND,3422,DEOGHAR,3288688,271.7350905,36,316,2308.629218,6154,0,32367,3101338,190627,24521,305153,28602,157.30658,10893.35942,84499,92503,190221,273366,214,399172,583219,38521,8427.42362,1343105,92,91.86,3.07,99.79,NA
2024-2025,Aug,34,JHARKHAND,3423,RAMGARH,1039217,272.0342565,37,158,798.2765544,2266,30,15619,934509,46878,8074,224552,27768,57.99624,3398.457404,25115,29960,61803,102139,299,140305,221759,17885,2542.18461,425871,95,95.22,0.45,99.51,NA
2024-2025,Aug,34,JHARKHAND,3406,LATEHAR,2778539,271.0566457,31,498,854.8900668,8417,0,30763,2133366,280053,22600,674952,51267,104.54286,6742.063247,68090,74120,123311,154469,113,188748,234595,39180,5782.63032,1015220,97,65.02,31.65,99.39,NA
2024-2025,Aug,34,JHARKHAND,3406,LATEHAR,2778539,270.9223771,31,497,854.8900668,8379,0,30729,2123496,278611,22595,671746,51258,104.54286,6712.458767,67850,73851,123296,154448,112,188707,234552,39108,5753.02584,1010097,97,65.08,31.64,99.38,NA
2024-2025,Aug,34,JHARKHAND,3408,WEST SINGHBHUM,1840249,271.3207561,29,128,1111.605082,6916,3,38797,1716672,39205,5540,1198543,159378,133.58576,5902.878292,57531,62646,151370,224819,169,354847,518309,45713,4657.68745,834779,89,81.79,10.13,99.33,NA
2024-2025,Aug,34,JHARKHAND,3413,SAHEBGANJ,1633163,275.840454,29,145,1172.002242,3872,6,28810,1253488,36589,6710,270611,46555,99.37809,4729.007322,42313,45432,126694,159471,44,347274,427737,32682,3457.62699,624037,91,86.75,5.01,99.63,NA
2024-2025,Aug,34,JHARKHAND,3417,CHATRA,2542445,272.7384519,29,59,1580.359833,5950,1,34968,2586446,637547,51963,126051,9335,96.08057,8730.673183,86871,96548,159721,194926,127,270043,322180,40918,7054.23278,1308861,97,96.73,1.02,99.39,NA
2024-2025,Aug,34,JHARKHAND,3423,RAMGARH,1039217,272.0621729,37,158,798.2765544,2266,30,15619,934893,46986,8074,224682,27768,57.99624,3399.763004,25115,29960,61803,102140,299,140335,221798,17885,2543.49021,426093,95,95.19,0.45,99.51,NA
2024-2025,Sep,34,JHARKHAND,3402,LOHARDAGA,725772,273.6491874,32,87,580.6072641,2873,0,15818,597547,31815,4973,357202,70086,62.54423,2278.334004,18551,23637,53065,112956,157,98531,195796,18691,1635.18251,304623,96,83.63,0.16,99.53,NA
2024-2025,Sep,34,JHARKHAND,3406,LATEHAR,3162394,271.3241221,32,515,854.8900668,8502,0,31530,2248822,295693,22620,708366,51311,128.67064,7085.157257,69831,76047,123456,154630,153,190086,235997,40032,6101.59655,1070735,97,64.15,32.4,99.45,NA
2024-2025,Sep,34,JHARKHAND,3411,DUMKA,3075257,272.6731841,35,104,1490.438144,5200,0,35930,2547477,114366,10994,687607,68621,125.64925,8562.374044,72371,78158,150767,213568,98,328595,469227,41130,6946.28665,1186687,94,91.27,6.08,99.77,NA
2024-2025,Sep,34,JHARKHAND,3414,PAKUR,1578888,272.5700867,34,33,932.8632596,5338,0,26044,1276769,26426,3375,352340,43971,76.17783,4489.13146,37001,39361,94316,122580,74,222582,285030,31382,3480.09037,626751,97,90.01,2.53,99.7,NA
2024-2025,Sep,34,JHARKHAND,3415,GODDA,2034362,272.9328568,33,129,1207.248915,4417,7,36297,1678525,62788,9854,327790,39550,106.19961,5894.69476,50793,55495,131360,194110,62,303565,441137,40714,4581.246235,787418,92,89.15,5.73,99.51,NA
2024-2025,Sep,34,JHARKHAND,3419,GIRIDIH,5528113,271.8359872,29,536,2451.995852,10930,17,68777,3488746,196398,31980,296953,34931,273.96514,12209.62812,117942,125236,281549,369627,111,649441,860767,79707,9483.66713,1842664,94,93.58,2.95,99.59,NA
2024-2025,Sep,34,JHARKHAND,3420,BOKARO,2065402,274.7316763,33,197,1059.9265,10292,13,32542,1494259,146228,26419,226242,35171,135.54725,5300.676549,44779,50389,136599,206159,239,380985,549474,42834,4105.202799,728887,97,93.71,1.52,99.78,NA
2024-2025,Sep,34,JHARKHAND,3421,DHANBAD,1661499,272.3514098,25,105,437.9099003,6809,15,37403,1046923,83591,15548,172301,22247,122.38824,3411.60769,40433,45644,107101,149194,87,305095,395738,44212,2851.30955,481167,95,90.2,3.7,99.65,NA
2024-2025,Sep,34,JHARKHAND,3422,DEOGHAR,3743020,271.9987511,37,315,2308.629218,6195,0,33036,3152435,194518,24551,310551,28618,164.31464,11047.52769,84994,93091,190384,273620,244,401000,585265,39231,8574.58383,1365821,93,91.77,3.06,99.81,NA
2024-2025,Dec,34,JHARKHAND,3401,RANCHI,2645536,272.2807948,41,154,2855.725158,5038,9,37678,2582676,130223,12924,954380,105690,528.76126,10416.61716,62568,73402,152981,249585,1262,353619,533128,42716,7032.13074,1243539,93,92.94,1.25,99.46,NA
2024-2025,Dec,34,JHARKHAND,3403,GUMLA,2645592,266.9204267,40,152,2698.442133,5116,1,34941,2056984,65969,6872,1200505,126072,231.49862,8420.451223,50366,57810,114582,198766,879,222116,371512,40057,5490.51047,841146,94,90.25,7.3,98.96,NA
2024-2025,Dec,34,JHARKHAND,3406,LATEHAR,4154742,270.5405213,44,655,1199.986998,14648,0,36815,3818932,499443,23208,1118652,52916,241.62983,11773.37537,85400,93500,128244,159747,1043,202652,248815,51463,10331.75854,1818550,98,52.91,43.98,99.65,NA
2024-2025,Dec,34,JHARKHAND,3411,DUMKA,4040262,271.2647004,44,121,1713.100799,8478,0,33717,3670247,168395,11233,956997,69625,291.83931,11961.02464,82938,89736,153770,217144,1066,334059,474849,42195,9956.08453,1737252,94,84.09,12.19,99.83,NA
2024-2025,Dec,34,JHARKHAND,3412,JAMTARA,3032074,268.5812779,39,125,1482.081284,10873,0,41905,3374921,235849,14795,620099,42996,220.74159,10767.22882,85426,93946,135358,182512,511,242205,313171,52778,9064.40595,1555462,95,95.3,2.27,99.64,NA
2024-2025,Dec,34,JHARKHAND,3413,SAHEBGANJ,2442066,275.3529284,31,149,1484.288505,4261,6,24127,1422555,41130,6746,316859,47026,234.70907,5636.044425,44634,47930,127696,160668,93,355826,436691,28388,3917.04685,713081,90,86.09,4.46,99.76,NA
2024-2025,Dec,34,JHARKHAND,3418,KODERMA,1417619,271.5594384,38,81,638.2551676,4853,5,14846,1200538,114961,9181,19500,1085,161.24064,4059.670058,31183,34417,64141,81820,365,154637,195949,19699,3260.17425,629963,90,78.57,6.73,99.22,NA
2024-2025,Dec,34,JHARKHAND,3424,KHUNTI,1250812,268.4778277,38,126,734.0721511,2200,0,21690,954338,38327,4620,633223,68871,111.68346,3407.941542,24932,29638,61012,98489,404,149711,239779,23890,2562.185931,423167,97,88.4,0.75,99.23,NA
2024-2025,Dec,34,JHARKHAND,3407,GARHWA,6416153,270.6647858,44,249,3986.469483,18507,0,57846,6884386,713641,52841,666815,38296,440.77828,23060.85638,155961,190686,247463,358179,798,409699,576976,76353,18633.60862,3193923,94,86.62,6.84,99.58,NA
2024-2025,Dec,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,2393810,270.7865593,34,171,741.7716543,10280,7,26229,1619508,68389,11015,513010,90018,215.10764,5342.289284,46350,57127,115348,218648,238,236924,419856,36509,4385.40999,802806,93,86.64,4.75,99.74,NA
2024-2025,Dec,34,JHARKHAND,3413,SAHEBGANJ,2442066,275.6344212,31,149,1382.771369,4245,6,24044,1407497,40773,6742,312685,47001,234.70907,5497.026649,44435,47707,127602,160562,67,355729,436584,28289,3879.54621,705644,90,86.07,4.5,99.76,NA
2024-2025,Dec,34,JHARKHAND,3415,GODDA,2672738,271.7299675,40,146,1656.636723,6649,7,35819,2266603,89438,9980,463378,40138,247.25525,8062.931568,56609,62258,133118,196503,379,312697,450974,42468,6159.039595,1082459,92,89.23,4.38,99.81,NA
2024-2025,Dec,34,JHARKHAND,3417,CHATRA,3801713,269.5794395,36,72,1603.065929,8075,1,40049,3524489,851715,52556,174252,9654,236.92776,11341.29138,97611,108772,162042,197654,331,278117,331137,48124,9501.29769,1794906,97,93.89,3.37,99.52,NA
2024-2025,Dec,34,JHARKHAND,3401,RANCHI,2645536,272.9747747,41,154,2855.725158,4846,9,37717,2554931,128712,12919,943180,105649,528.76126,10358.80356,62230,72955,152859,249414,1211,353523,533003,42563,6974.31714,1230207,93,93.09,1.22,99.45,NA
2024-2025,Dec,34,JHARKHAND,3407,GARHWA,6416153,270.6827264,44,250,4146.055054,18737,0,57861,6913288,716715,52846,670338,38303,440.77828,23299.90977,156275,191117,247539,358303,807,409966,577269,76598,18713.07644,3207308,94,86.67,6.8,99.58,NA
2024-2025,Dec,34,JHARKHAND,3408,WEST SINGHBHUM,2751719,269.1510833,36,133,1218.506399,10161,3,38201,2373615,57041,5597,1628532,161007,308.75075,7915.867634,64291,70394,153360,227328,1190,362677,526737,48362,6388.610485,1157799,89,79.61,9.97,99.51,NA
2024-2025,Dec,34,JHARKHAND,3417,CHATRA,3801713,269.7786521,36,72,1678.817687,8125,1,40058,3541795,856410,52570,175424,9658,236.92776,11470.75226,97760,108942,162089,197708,336,278180,331202,48183,9555.00681,1803839,97,93.9,3.37,99.52,NA
2024-2025,Dec,34,JHARKHAND,3422,DEOGHAR,4917569,271.3683246,45,366,3790.451473,7887,0,34012,4477765,262539,25005,416314,29107,387.88658,16329.57391,98240,107974,194821,279376,1122,411021,596750,41899,12151.23586,1986922,93,88.85,5.01,99.87,NA
2024-2025,Dec,34,JHARKHAND,3402,LOHARDAGA,953516,273.321746,37,101,819.4841156,4213,0,14826,805087,41441,5029,468179,70581,137.21084,3157.172801,21301,27624,53676,113913,430,99556,197232,19039,2200.477845,410570,96,84.56,0.17,99.82,NA
2024-2025,Dec,34,JHARKHAND,3404,SIMDEGA,2447364,274.4742902,40,144,1914.931639,7642,0,24362,1910733,183522,14756,1161443,103649,181.99712,7341.399598,46771,53237,96464,157812,1260,173235,275739,32004,5244.47084,861832,94,88.52,3.22,99.74,NA
2024-2025,Dec,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,2393810,271.0944688,35,171,741.7736543,10893,7,26082,1692315,72113,11029,532062,90109,215.10764,5544.653654,47156,58183,115541,218979,298,237127,420183,36975,4587.77236,838763,93,86.38,5.01,99.8,NA
2024-2025,Dec,34,JHARKHAND,3412,JAMTARA,3032074,269.9244448,40,124,1482.081284,12495,0,40642,3453436,240339,14807,633143,43022,220.74159,11024.49082,86113,94730,135569,182758,557,242636,313632,53137,9321.66795,1591112,95,95.25,2.3,99.66,NA
2024-2025,Dec,34,JHARKHAND,3413,SAHEBGANJ,2442066,274.9045864,32,150,1484.288505,5534,6,23951,1452654,42879,6778,324988,47111,234.70907,5712.410045,45055,48383,127886,160903,98,355925,436801,29485,3993.41247,728908,90,85.94,4.39,99.78,NA
2024-2025,Dec,34,JHARKHAND,3419,GIRIDIH,7262820,270.5765558,39,637,2937.631529,17839,16,65328,5567629,326017,32876,461945,35653,562.3481,18564.67842,142563,152186,288529,377725,986,662896,874753,83167,15064.69879,2947723,95,92.36,2.82,99.75,NA
2024-2025,Dec,34,JHARKHAND,3402,LOHARDAGA,953516,272.7741489,37,99,766.3533554,3483,0,15338,776567,40039,5013,452800,70472,137.21084,3021.83822,20934,27079,53583,113720,372,99452,197078,18821,2118.274025,395905,96,84.5,0.15,99.75,NA
2024-2025,Dec,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,2393810,271.0162953,34,171,741.7716543,10192,7,26289,1610346,67941,11010,510304,90008,215.10764,5321.179364,46259,57009,115321,218608,232,236890,419809,36481,4364.30007,798559,93,86.66,4.72,99.74,NA
2024-2025,Dec,34,JHARKHAND,3411,DUMKA,4040262,271.7594537,43,119,1623.873248,7812,0,34118,3607726,164707,11197,941934,69378,291.83931,11720.04903,81998,88715,153447,216680,747,333924,474749,41930,9804.33647,1707453,94,84.24,12.3,99.83,NA
2024-2025,Dec,34,JHARKHAND,3413,SAHEBGANJ,2442066,275.5512301,31,149,1382.771369,4214,6,24049,1402632,40727,6742,311801,46998,234.70907,5482.450169,44370,47637,127560,160515,63,355711,436563,28263,3864.96973,703074,90,86.03,4.54,99.76,NA
2024-2025,Dec,34,JHARKHAND,3417,CHATRA,3801713,269.255504,35,75,1603.065929,8026,1,40040,3504028,847530,52568,173549,9650,236.92776,11274.78194,97532,108666,162049,197659,317,277984,331001,48066,9434.78825,1784464,97,93.96,3.3,99.51,NA
2024-2025,Dec,34,JHARKHAND,3418,KODERMA,1417619,269.9082411,37,78,632.9043664,4725,5,14879,1167963,111520,9182,18516,1085,160.05364,3945.386396,30831,34008,64080,81778,289,154586,195942,19604,3152.42839,612075,90,78.6,6.82,99.17,NA
2024-2025,Dec,34,JHARKHAND,3422,DEOGHAR,4917569,271.39057,45,365,2813.294662,7834,0,34037,4455992,261600,24988,414197,29102,387.88658,15294.32333,98061,107767,194749,279270,1102,410926,596638,41871,12093.14209,1976484,93,89.04,5.06,99.87,NA
2024-2025,Dec,34,JHARKHAND,3403,GUMLA,2645592,266.4325196,40,147,2122.43417,4035,1,35308,1987304,63449,6858,1162317,125790,218.57263,7635.83092,49485,56657,114314,198343,772,221729,371080,39343,5294.82412,811308,94,90.48,7.49,98.87,NA
2024-2025,Dec,34,JHARKHAND,3414,PAKUR,2074337,272.0472824,41,37,1049.417319,7028,0,24291,1700845,37146,3405,476365,44393,239.80145,5916.321369,40642,43340,95631,124092,426,231333,294149,31319,4627.1026,842630,97,85.41,4.55,99.73,NA
